,product_id,style_id,color_id,product_name,product_type,product_color,cotton,spandex,polyester,elastomultiester,lyocell,rayon,product_price,scraping_datetime
0,1024256006,1024256,006,slim_jeans,men_jeans_slim,dark_denim_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
1,1024256001,1024256,001,slim_jeans,men_jeans_slim,black,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
2,1024256002,1024256,002,slim_jeans,men_jeans_slim,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 7.99,2023-05-11 07:49:41
3,1024256003,1024256,003,slim_jeans,men_jeans_slim,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
4,1024256004,1024256,004,slim_jeans,men_jeans_slim,denim_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
5,1024256005,1024256,005,slim_jeans,men_jeans_slim,dark_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
6,1024256007,1024256,007,slim_jeans,men_jeans_slim,dark_gray,0.99,0.01,0.0,0.0,0,0, 19.99,2023-05-11 07:49:41
7,1024256008,1024256,008,slim_jeans,men_jeans_slim,white,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
96,0985159001,0985159,001,skinny_jeans,men_jeans_skinny,black,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
97,0985159002,0985159,002,skinny_jeans,men_jeans_skinny,denim_blue,0.99,0.01,0.0,0.0,0,0, 8.99,2023-05-11 07:49:41
98,0985159003,0985159,003,skinny_jeans,men_jeans_skinny,dark_gray,0.99,0.01,0.0,0.0,0,0, 11.99,2023-05-11 07:49:41
99,0985159004,0985159,004,skinny_jeans,men_jeans_skinny,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
100,0985159005,0985159,005,skinny_jeans,men_jeans_skinny,dark_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
101,0985159006,0985159,006,skinny_jeans,men_jeans_skinny,dark_denim_blue,0.99,0.01,0.0,0.0,0,0, 9.99,2023-05-11 07:49:41
102,0985159007,0985159,007,skinny_jeans,men_jeans_skinny,denim_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
103,0985159008,0985159,008,skinny_jeans,men_jeans_skinny,dark_gray,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
128,1008549006,1008549,006,straight_regular_jeans,men_jeans_regular,black,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
129,1008549001,1008549,001,straight_regular_jeans,men_jeans_regular,light_denim_blue,0.98,0.02,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
130,1008549002,1008549,002,straight_regular_jeans,men_jeans_regular,denim_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
131,1008549003,1008549,003,straight_regular_jeans,men_jeans_regular,dark_gray,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
132,1008549004,1008549,004,straight_regular_jeans,men_jeans_regular,dark_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
133,1008549005,1008549,005,straight_regular_jeans,men_jeans_regular,dark_denim_blue,0.99,0.01,0.0,0.0,0,0, 24.99,2023-05-11 07:49:41
134,1008549007,1008549,007,straight_regular_jeans,men_jeans_regular,light_gray,0.99,0.01,0.0,0.0,0,0, 11.99,2023-05-11 07:49:41
135,1008549008,1008549,008,straight_regular_jeans,men_jeans_regular,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 10.99,2023-05-11 07:49:41
176,0979945003,0979945,003,loose_jeans,men_jeans_loose,black,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
177,0979945001,0979945,001,loose_jeans,men_jeans_loose,light_denim_blue,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
178,0979945002,0979945,002,loose_jeans,men_jeans_loose,denim_blue,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
179,0979945009,0979945,009,loose_jeans,men_jeans_loose,light_gray,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
180,0979945012,0979945,012,loose_jeans,men_jeans_loose,gray,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
181,0979945019,0979945,019,loose_jeans,men_jeans_loose,black/patterned,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
182,0979945022,0979945,022,loose_jeans,men_jeans_loose,light_purple,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
183,0979945023,0979945,023,loose_jeans,men_jeans_loose,olive_green,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
184,0979945024,0979945,024,loose_jeans,men_jeans_loose,pale_denim_blue,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
185,0979945025,0979945,025,loose_jeans,men_jeans_loose,purple,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
186,0979945028,0979945,028,loose_jeans,men_jeans_loose,pale_denim_blue,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
187,0979945029,0979945,029,loose_jeans,men_jeans_loose,denim_blue,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
188,0979945030,0979945,030,loose_jeans,men_jeans_loose,light_denim_gray,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
189,0979945031,0979945,031,loose_jeans,men_jeans_loose,white,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
190,0979945033,0979945,033,loose_jeans,men_jeans_loose,black,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
356,1158786001,1158786,001,loose_denim_joggers,men_trousers_joggers,light_denim_blue,1.0,0.0,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
357,1158786002,1158786,002,loose_denim_joggers,men_trousers_joggers,denim_blue,1.0,0.0,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
358,1158786003,1158786,003,loose_denim_joggers,men_trousers_joggers,light_denim_gray,1.0,0.0,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
365,0875105041,0875105,041,straight_relaxed_jeans,men_jeans_relaxed,denim_gray,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
366,0875105001,0875105,001,straight_relaxed_jeans,men_jeans_relaxed,denim_blue,1.0,0.0,0.0,0.0,0,0, 22.99,2023-05-11 07:49:41
367,0875105002,0875105,002,straight_relaxed_jeans,men_jeans_relaxed,black,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
368,0875105003,0875105,003,straight_relaxed_jeans,men_jeans_relaxed,light_denim_blue,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
369,0875105009,0875105,009,straight_relaxed_jeans,men_jeans_relaxed,dark_denim_blue,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
370,0875105011,0875105,011,straight_relaxed_jeans,men_jeans_relaxed,light_denim_blue,1.0,0.0,0.0,0.0,0,0, 22.99,2023-05-11 07:49:41
371,0875105015,0875105,015,straight_relaxed_jeans,men_jeans_relaxed,light_denim_blue,1.0,0.0,0.0,0.0,0,0, 22.99,2023-05-11 07:49:41
372,0875105016,0875105,016,straight_relaxed_jeans,men_jeans_relaxed,denim_blue,1.0,0.0,0.0,0.0,0,0, 29.99,2023-05-11 07:49:41
373,0875105017,0875105,017,straight_relaxed_jeans,men_jeans_relaxed,dark_denim_blue,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
374,0875105018,0875105,018,straight_relaxed_jeans,men_jeans_relaxed,pale_denim_blue,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
375,0875105023,0875105,023,straight_relaxed_jeans,men_jeans_relaxed,black,1.0,0.0,0.0,0.0,0,0, 15.99,2023-05-11 07:49:41
376,0875105024,0875105,024,straight_relaxed_jeans,men_jeans_relaxed,light_denim_blue,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
377,0875105026,0875105,026,straight_relaxed_jeans,men_jeans_relaxed,light_gray,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
378,0875105029,0875105,029,straight_relaxed_jeans,men_jeans_relaxed,black,1.0,0.0,0.0,0.0,0,0, 15.99,2023-05-11 07:49:41
379,0875105036,0875105,036,straight_relaxed_jeans,men_jeans_relaxed,light_denim_blue,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
380,0875105037,0875105,037,straight_relaxed_jeans,men_jeans_relaxed,black,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
381,0875105040,0875105,040,straight_relaxed_jeans,men_jeans_relaxed,denim_blue,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
382,0875105042,0875105,042,straight_relaxed_jeans,men_jeans_relaxed,dark_denim_blue,1.0,0.0,0.0,0.0,0,0, 44.99,2023-05-11 07:49:41
527,1130309001,1130309,001,baggy_jeans,men_jeans_loose,denim_black,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
528,1130309002,1130309,002,baggy_jeans,men_jeans_loose,light_denim_blue,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
529,1130309004,1130309,004,baggy_jeans,men_jeans_loose,dark_denim_gray,1.0,0.0,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
830,0690449036,0690449,036,skinny_jeans,men_jeans_ripped,black,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
831,0690449001,0690449,001,skinny_jeans,men_jeans_ripped,light_denim_blue/trashed,0.99,0.01,0.0,0.0,0,0, 13.99,2023-05-11 07:49:41
832,0690449002,0690449,002,skinny_jeans,men_jeans_ripped,denim_blue,0.98,0.02,0.0,0.0,0,0, 12.99,2023-05-11 07:49:41
833,0690449006,0690449,006,skinny_jeans,men_jeans_ripped,black/washed,0.98,0.02,0.0,0.0,0,0, 5.99,2023-05-11 07:49:41
834,0690449007,0690449,007,skinny_jeans,men_jeans_ripped,light_denim_blue,0.98,0.02,0.0,0.0,0,0, 12.99,2023-05-11 07:49:41
835,0690449009,0690449,009,skinny_jeans,men_jeans_ripped,black_washed_out,0.99,0.01,0.0,0.0,0,0, 17.99,2023-05-11 07:49:41
836,0690449011,0690449,011,skinny_jeans,men_jeans_ripped,white,0.99,0.01,0.0,0.0,0,0, 17.99,2023-05-11 07:49:41
837,0690449013,0690449,013,skinny_jeans,men_jeans_ripped,black/washed,0.98,0.02,0.0,0.0,0,0, 27.99,2023-05-11 07:49:41
838,0690449021,0690449,021,skinny_jeans,men_jeans_ripped,dark_denim_blue/trashed,0.98,0.02,0.0,0.0,0,0, 25.99,2023-05-11 07:49:41
839,0690449022,0690449,022,skinny_jeans,men_jeans_ripped,black/trashed,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
840,0690449024,0690449,024,skinny_jeans,men_jeans_ripped,dark_blue/trashed,0.98,0.02,0.0,0.0,0,0, 20.99,2023-05-11 07:49:41
841,0690449028,0690449,028,skinny_jeans,men_jeans_ripped,dark_blue/washed_out,0.98,0.02,0.0,0.0,0,0, 19.99,2023-05-11 07:49:41
842,0690449035,0690449,035,skinny_jeans,men_jeans_ripped,denim_blue/trashed,0.98,0.02,0.0,0.0,0,0, 21.99,2023-05-11 07:49:41
843,0690449040,0690449,040,skinny_jeans,men_jeans_ripped,denim_gray,0.98,0.02,0.0,0.0,0,0, 29.99,2023-05-11 07:49:41
844,0690449043,0690449,043,skinny_jeans,men_jeans_ripped,light_denim_blue/trashed,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
845,0690449046,0690449,046,skinny_jeans,men_jeans_ripped,light_denim_gray/trashed,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
846,0690449051,0690449,051,skinny_jeans,men_jeans_ripped,gray,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
847,0690449056,0690449,056,skinny_jeans,men_jeans_ripped,light_denim_blue,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
848,0690449059,0690449,059,skinny_jeans,men_jeans_ripped,denim_blue,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
849,0690449062,0690449,062,skinny_jeans,men_jeans_ripped,light_denim_blue,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
850,0690449064,0690449,064,skinny_jeans,men_jeans_ripped,black/patterned,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
851,0690449067,0690449,067,skinny_jeans,men_jeans_ripped,denim_blue,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
1028,1139723005,1139723,005,skinny_jeans,men_jeans_skinny,white,0.99,0.01,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
1029,1139723001,1139723,001,skinny_jeans,men_jeans_skinny,denim_purple,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
1030,1139723003,1139723,003,skinny_jeans,men_jeans_skinny,black/leopard_print,0.98,0.02,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
1249,1024711017,1024711,017,slim_jeans,men_jeans_slim,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1250,1024711001,1024711,001,slim_jeans,men_jeans_slim,black,0.98,0.02,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1251,1024711002,1024711,002,slim_jeans,men_jeans_slim,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1252,1024711004,1024711,004,slim_jeans,men_jeans_slim,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 8.99,2023-05-11 07:49:41
1253,1024711006,1024711,006,slim_jeans,men_jeans_slim,dark_denim_blue,0.99,0.01,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1254,1024711008,1024711,008,slim_jeans,men_jeans_slim,dark_denim_gray,0.99,0.01,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1255,1024711009,1024711,009,slim_jeans,men_jeans_slim,dark_blue,0.99,0.01,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1256,1024711010,1024711,010,slim_jeans,men_jeans_slim,denim_blue,0.99,0.01,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1257,1024711014,1024711,014,slim_jeans,men_jeans_slim,black,0.98,0.02,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1258,1024711023,1024711,023,slim_jeans,men_jeans_slim,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 34.99,2023-05-11 07:49:41
1527,0938875008,0938875,008,slim_tapered_jeans,men_jeans_slim,denim_blue,0.99,0.01,0.0,0.0,0,0, 39.99,2023-05-11 07:49:41
1528,0938875001,0938875,001,slim_tapered_jeans,men_jeans_slim,light_denim_blue,0.99,0.01,0.0,0.0,0,0, 29.99,2023-05-11 07:49:41
1529,0938875002,0938875,002,slim_tapered_jeans,men_jeans_slim,white,0.99,0.01,0.0,0.0,0,0, 22.99,2023-05-11 07:49:41
1530,0938875004,0938875,004,slim_tapered_jeans,men_jeans_slim,dark_gray,0.99,0.01,0.0,0.0,0,0, 18.99,2023-05-11 07:49:41
