,nom,prix,description,composition,conseils_de_lavage,url
0,Robe midi ample SUMMER en Lin - Green,"178,00€","
Robe midi ample en gaze de Lin - Vert Green
- Décolleté V
- Manches au-dessus des coudes
- Fronces au niveau de la taille sur l'avant et le dos
- Poches italiennes
",100% Gaze de Lin (85g/m2),"['- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2372-10492-robe-ample-midi-summer-gaze-lin-vert-green.html#/143-taille-34
1,Robe midi ample SUMMER en Lin - Green,"178,00€","
Robe midi ample en gaze de Lin - Vert Green
- Décolleté V
- Manches au-dessus des coudes
- Fronces au niveau de la taille sur l'avant et le dos
- Poches italiennes
",100% Gaze de Lin (85g/m2),"['- Lavage en machine, 40° maximum avec un essorage doux', '- Il est conseillé de faire sécher votre écharpe étendue afin de garder son aspect froissé naturel', ""- Votre création s'adoucira à chaque lavage""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2372-10492-robe-ample-midi-summer-gaze-lin-vert-green.html#/143-taille-34
2,Blouse à fronces SOLANGE en Lin imprimé - Green,"168,00€","
Blouse froncée en gaze de Lin lavée - Vert Green
- Blouse manche 3/4
- Encolure froncée
- Col ouvert en V avec lien à nouer
- Bas de manche froncé
- Imprimé Louise exclusif fait en France
",100% Gaze de Lin (85g/m2) imprimée et lavée,"['- Laver en machine maximum 40° avec un essorage doux', '- Il est conseillé de faire sécher votre vêtement sur un cintre et de ne pas le repasser pour éviter de lui enlever son aspect froissé naturel', '- À chaque lavage votre chemise sera de plus en plus douce']",https://zyga.fr/Chemises-tops-femme-lin-printemps-ete/2429-10779-blouse-fronce-imprimee-france-gaze-lin-solange-vert-green.html#/143-taille-34
3,Blouse à fronces SOLANGE en Lin imprimé - Green,"168,00€","
Blouse froncée en gaze de Lin lavée - Vert Green
- Blouse manche 3/4
- Encolure froncée
- Col ouvert en V avec lien à nouer
- Bas de manche froncé
- Imprimé Louise exclusif fait en France
",100% Gaze de Lin (85g/m2) imprimée et lavée,"['- Laver en machine maximum 40° avec un essorage doux', '- Il est conseillé de faire sécher votre vêtement sur un cintre et de ne pas le repasser pour éviter de lui enlever son aspect froissé naturel', '- À chaque lavage votre chemise sera de plus en plus douce']",https://zyga.fr/Chemises-tops-femme-lin-printemps-ete/2429-10779-blouse-fronce-imprimee-france-gaze-lin-solange-vert-green.html#/143-taille-34
4,Robe polo SELMA en Lin - Green,"178,00€","
Robe col polo évasée en Lin Léger lavé - Vert Green
- Large patte de boutonnage finie par un pli
- Manche au-dessus du coude avec revers
- Poche poitrine basse
- Poches cotés cachées dans les coutures
- Large plis d'aisance dans le dos
- Longueur genoux
",100% Lin Léger (135g/m²),"['Entretien :', '- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira.""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2459-10948-robe-polo-evasee-selma-lin-leger-vert-green.html#/143-taille-34
5,Robe polo SELMA en Lin - Green,"178,00€","
Robe col polo évasée en Lin Léger lavé - Vert Green
- Large patte de boutonnage finie par un pli
- Manche au-dessus du coude avec revers
- Poche poitrine basse
- Poches cotés cachées dans les coutures
- Large plis d'aisance dans le dos
- Longueur genoux
",100% Lin Léger (135g/m²),"['Entretien :', '- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira.""]",https://zyga.fr/Robes-femme-lin-printemps-ete/2459-10948-robe-polo-evasee-selma-lin-leger-vert-green.html#/143-taille-34
6,Robe midi sans manches MARIE en Lin imprimé - Green,"244,00€","
Robe sans manche iconique en gaze de Lin lavée - Vert Green
- Décolleté V
- Plis religieux sur le buste
- Poches cotés cachées dans les coutures
- Longueur midi
- Imprimé Exclusif ""Louise"" fait en France
",100% Gaze de Lin (85g/m2) imprimée et lavée,"['- Laver en machine maximum 40° avec un essorage doux', '- Il est conseillé de faire sécher votre vêtement sur un cintre et de ne pas le repasser pour éviter de lui enlever son aspect froissé naturel', '- À chaque lavage votre chemise sera de plus en plus douce']",https://zyga.fr/Robes-femme-lin-printemps-ete/2431-10793-robe-midi-sans-manches-marie-lin-leger-imprime-vert-green.html#/141-taille-s
7,Robe midi sans manches MARIE en Lin imprimé - Green,"244,00€","
Robe sans manche iconique en gaze de Lin lavée - Vert Green
- Décolleté V
- Plis religieux sur le buste
- Poches cotés cachées dans les coutures
- Longueur midi
- Imprimé Exclusif ""Louise"" fait en France
",100% Gaze de Lin (85g/m2) imprimée et lavée,"['- Laver en machine maximum 40° avec un essorage doux', '- Il est conseillé de faire sécher votre vêtement sur un cintre et de ne pas le repasser pour éviter de lui enlever son aspect froissé naturel', '- À chaque lavage votre chemise sera de plus en plus douce']",https://zyga.fr/Robes-femme-lin-printemps-ete/2431-10793-robe-midi-sans-manches-marie-lin-leger-imprime-vert-green.html#/141-taille-s
8,Top brodé SOLEDAD en Lin - Blanc,"168,00€","
Top débardeur en Lin moyen lavé - Blanc
- Décolleté bateau
- Emmanchure et décolleté broderie dentelée
- Fentes côté bas
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Chemises-tops-femme-lin-printemps-ete/2213-9423-top-debardeur-brode-dentelle-lin-moyen-soledad-blanc.html#/143-taille-34
9,Top brodé SOLEDAD en Lin - Blanc,"168,00€","
Top débardeur en Lin moyen lavé - Blanc
- Décolleté bateau
- Emmanchure et décolleté broderie dentelée
- Fentes côté bas
",100% Lin Moyen (180g/m²),"['- Lavage en machine à 40° maximum avec un essorage doux', ""- Il est conseillé de repasser votre vêtement à l'envers, encore humide."", ""- À chaque lavage votre vêtement s'adoucira""]",https://zyga.fr/Chemises-tops-femme-lin-printemps-ete/2213-9423-top-debardeur-brode-dentelle-lin-moyen-soledad-blanc.html#/143-taille-34
